,Unnamed: 0,description,imageurl,name,price,price_new
33,33,Happy Birthday Photo Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16025884044-600x600.jpeg,Birthday Joy Cake,1049,949
34,34,Half Kg Delicious Chocolate Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15904912191-600x600.jpg,Mouthwatering Chocolate Cream Cake,899,899
35,35,Strawberry Cheese Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16159060201-600x600.jpeg,Superb Strawberry Cake,1649,1649
36,36,Half kg Chocolate Strawberry Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/26-07-2018/1537772267GDS_0156-600x600.jpg,Two-in-One Cake,749,749
37,37,Half Kg Designer Vanilla Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15992219883-600x600.jpg,Pink Floral Vanilla Cake,749,749
38,38,Half Kg Vanilla Cream Cake Topped with Cherries,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/29-09-2018/1542962910GDS_0114-600x600.jpg,Vanilla Cake Delight,599,499
39,39, Half Kg Vanilla Cake topped with Chocolate coated Cherries.,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1578665648Vanila-Cherry-A-600x600.jpg,Vanilla Realm,749,749
40,40,Half Kg Heart Shape Chocolate Truffle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/10102018/15391515605814-600x600.jpg,Cupids Arrow Cake,899,899
41,41,PUBG Battle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15911835391-600x600.jpeg,PUBG Battle Cake,3650,3650
42,42,10 Red Roses in Paper Packing with 2 Cadbury's Dairy Milk Silks and Black Forest Cake (Half Kg) and 1 Teddy Bear (6 Inches),https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/13thJan/bouquet-of-emotions-600x600.JPG,Bouquet of Emotions,1850,1550
43,43,Half Kg Chocolate Truffle Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/26-07-2018/1538054415GDS_0086-600x600.jpg,Captivating Chocolate Truffle,715,649
44,44,Half Kg Strawberry Personalised Photo Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15785749494353-600x600.jpg,Lovely Strawberry,1049,1049
45,45,Half Kg Strawberry Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/010/10102018/15391544864062-600x600.jpg,Strawberry Blast,945,699
46,46,Half Kg Vanilla Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/1602250283Cake-600x600.jpg,Eternal Love,1099,999
47,47,Butterscotch Photo Cream Cake,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/16045840911_1-600x600.jpg,Butterscotch Photo Cake,999,999
48,48,Half Kg Chota Bheem Photo Vanilla Cream Cake ,https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/157857636032-600x600.jpg,Cute Chhota Bheem Photo Cake,999,999
49,49,"One Kg Square Shape 4 in 1 flavour cake such as Chocolate,Pineapple,Black Forest,Butterscotch",https://d3cif2hu95s88v.cloudfront.net/live-site-2016/product-image/IMG/15789017194-600x600.jpg,Best of Four Flavor Cake,1349,1349
